,Country,City,Date,Temperature(F),Cloud Density,Humidity,Wind(MPH),Latitude,Longitude
0,GL,Upernavik,1569104685,38.29,100,69,12.73,72.79,-56.15
1,ZA,Hermanus,1569104572,55.0,8,88,10.85,-34.42,19.24
2,CK,Avarua,1569104687,71.6,100,94,3.36,-21.21,-159.78
3,CA,Tuktoyaktuk,1569104526,44.6,90,81,16.11,69.44,-133.03
4,CN,Dalianwan,1569104690,73.0,0,51,6.71,39.03,121.69
5,AU,Jamestown,1569104639,39.19,18,95,6.73,-33.21,138.6
6,CO,Solano,1569104692,80.59,100,75,4.23,0.7,-75.25
7,CA,Thompson,1569104517,57.2,90,76,11.41,55.74,-97.86
8,AU,Karratha,1569104694,60.61,0,15,13.18,-20.74,116.85
9,CL,Punta Arenas,1569104532,42.8,0,70,40.26,-53.16,-70.91
10,KG,At-Bashi,1569104696,48.91,0,43,7.0,41.17,75.81
11,RU,Provideniya,1569104697,33.07,49,63,3.96,64.42,-173.23
12,NZ,Christchurch,1569104552,52.0,18,93,4.7,-43.53,172.64
13,US,Albany,1569104462,80.6,20,39,4.7,42.65,-73.75
14,ZA,Port Alfred,1569104617,62.01,100,84,3.0,-33.59,26.89
15,GL,Qaanaaq,1569104548,22.81,25,45,5.97,77.48,-69.36
16,PG,Ialibu,1569104703,65.83,100,99,0.54,-6.28,143.99
17,TL,Airai,1569104654,66.55,89,74,3.13,-8.93,125.41
18,NC,Tadine,1569104706,69.97,36,74,23.13,-21.55,167.88
19,ES,Aranda de Duero,1569104707,60.43,85,78,6.4,41.67,-3.69
20,SA,Abha,1569104708,64.4,0,17,4.9,18.22,42.5
21,RU,Omsukchan,1569104709,31.45,88,71,1.54,62.53,155.8
22,JP,Katsuura,1569104710,75.2,75,83,11.41,33.93,134.5
23,TD,Biltine,1569104712,91.21,92,37,7.11,14.53,20.93
24,IN,Bhatapara,1569104713,76.09,100,93,3.27,21.77,81.81
25,MX,San Pedro Buenavista,1569104714,72.85,46,87,3.49,20.01,-97.11
26,PK,Khuzdar,1569104715,75.37,0,27,3.31,27.8,66.62
27,PF,Faanui,1569104583,80.23,94,84,14.12,-16.48,-151.75
28,RU,Dikson,1569104524,37.21,100,96,20.0,73.51,80.55
29,ZA,East London,1569104718,61.87,99,78,5.97,-33.02,27.91
30,UY,Rocha,1569104720,58.45,0,70,10.45,-34.48,-54.34
31,ZA,Cape Town,1569104399,59.0,75,82,3.36,-33.93,18.42
32,PH,San Andres,1569104722,76.09,100,90,4.85,13.32,122.68
33,RU,Khatanga,1569104723,41.35,99,89,10.74,71.98,102.47
34,MU,Quatre Cocos,1569104724,69.8,75,77,17.22,-20.21,57.76
35,CA,Saint-Philippe,1569104726,79.0,1,61,4.7,45.36,-73.48
36,NZ,Mataura,1569104557,43.33,7,86,5.37,-46.19,168.86
37,CN,Madang,1569104728,29.29,0,66,1.25,35.32,102.79
38,AU,Busselton,1569104527,37.99,0,69,12.46,-33.64,115.35
39,NU,Alofi,1569104730,71.6,97,83,14.99,-19.06,-169.92
40,NO,Berlevag,1569104580,39.2,75,86,16.11,70.86,29.09
41,NO,Hovd,1569104732,55.0,75,87,10.29,63.83,10.7
42,CA,Yellowknife,1569104620,57.0,75,71,19.46,62.45,-114.38
43,BR,Eirunepe,1569104735,87.43,91,57,2.48,-6.66,-69.87
44,PF,Tiarei,1569104736,84.2,40,70,16.11,-17.53,-149.33
45,BR,Salinopolis,1569104574,81.49,5,78,18.99,-0.61,-47.36
46,MV,Hithadhoo,1569104611,78.79,100,78,9.4,-0.6,73.08
47,NA,Luderitz,1569104650,59.0,0,67,23.04,-26.65,15.16
48,CA,Pangnirtung,1569104740,30.55,3,79,2.01,66.15,-65.72
49,NO,Fagernes,1569104741,46.0,0,71,2.86,60.99,9.24
50,PG,Kavieng,1569104541,84.19,77,69,9.17,-2.57,150.8
51,PF,Atuona,1569104554,80.59,4,76,22.79,-9.8,-139.03
52,MN,Baruun-Urt,1569104616,49.99,0,49,7.76,46.68,113.28
53,IQ,Kirkuk,1569104746,75.19,0,24,7.47,35.47,44.4
54,GL,Tasiilaq,1569104747,42.8,100,75,24.16,65.61,-37.64
